Country Name,Series Name,2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
Afghanistan,GDP (current US$),12416152732.0567,15856668555.8336,17805098206.3141,19907329777.5872,20146416757.5987,20497128555.6972,19134221644.7325,18116572395.0772,18753456497.8159,18053222687.4126,18799444490.1128,19955929052.1496,14266499429.8746,14502158192.0904,..
Afghanistan,GNI (current US$),12378340930.5187,15885775064.3022,17781511431.23,19961261595.0253,20209353657.8054,20559672324.9094,19249499438.7455,18350475875.2999,18961769787.4548,18294513957.5523,19080662010.7479,20105156769.1907,14352632363.74,14545219074.5763,..
Afghanistan,Imports of goods and services (current US$),..,..,..,..,..,..,..,..,..,..,..,7241822542.17594,5288529076.39681,7904463276.83616,..
Afghanistan,Exports of goods and services (current US$),..,..,..,..,..,..,..,..,..,..,..,2079570874.83738,2046123147.09236,2665502824.85876,..
Afghanistan,"Inflation, consumer prices (annual %)",-6.81116108898993,2.17853752389414,11.8041858089129,6.44121280934117,7.38577178397855,4.67399603536305,-0.66170916471352,4.38389195513893,4.97595150553892,0.626149149168983,2.30237251516819,..,..,..,..
Afghanistan,"Labor force, total",6504675,6738587,7095658,7520865,7881567,8285362,8630724,8913938,9254593,9242721,9220323,9105733,9356574,8803873,8920521
Afghanistan,"Population, total",27385307,28189672,29249157,30466479,31541209,32716210,33753499,34636207,35643418,36686784,37769499,38972230,40099462,41128771,42239854
Afghanistan,"Industry (including construction), value added (annual % growth)",6.10714113128491,6.27060133814976,9.8076704185067,6.3940710078319,5.06099068169274,2.76578053402486,4.17112134442286,-0.765914428667429,9.20679243694582,11.0746416445024,4.84886805836136,-4.63025314891763,-12.8087400556664,-5.72521962070655,..
Albania,GDP (current US$),12044205549.6571,11926926615.8015,12890760315.146,12319834195.331,12776224496.9718,13228147516.1168,11386853113.0189,11861199830.8396,13019726211.7369,15156424015.1977,15401826127.2539,15162734205.2462,17930565118.8176,18916378860.5488,22977677860.7979
Albania,GNI (current US$),11852736925.0939,11807769437.1323,12894099798.9481,12228069196.1144,12996543353.0861,13349419700.4171,11521811393.6203,12053832974.203,13051517643.6213,15137984850.8323,15200244588.0406,14912504601.9328,17680966714.6445,18569375310.9639,22674870567.8374
Albania,Imports of goods and services (current US$),6004538203.11457,5792187274.96813,6700234587.48787,5860879346.60531,5999382677.06795,6243003602.57869,5070977347.41792,5436220794.65131,6070375896.83265,6856194783.87124,6926959712.72243,5636282433.50207,8016544325.73416,9033376424.81865,10320399810.2241
Albania,Exports of goods and services (current US$),3040047644.65753,3337086708.7743,3769456465.06531,3565050512.4285,3694413338.18786,3732057451.6496,3104897778.14706,3437126527.98196,4110301305.54485,4785179280.99214,4821429218.47484,3435540416.01473,5613909458.07573,7073859741.47037,9104536291.91714
Albania,"Inflation, consumer prices (annual %)",2.26692209450831,3.62604695579816,3.42912324722163,2.03159268395301,1.93762080205229,1.6258650440261,1.89617402592365,1.2754316836741,1.98666133171199,2.02805963071136,1.41109078954246,1.62088661717011,2.04147163139549,6.72520271530048,..
Albania,"Labor force, total",1258916,1270655,1388801,1328695,1227940,1256110,1308343,1354998,1377319,1409389,1433004,1359716,1382433,1404942,1387831
Albania,"Population, total",2927519,2913021,2905195,2900401,2895092,2889104,2880703,2876101,2873457,2866376,2854191,2837849,2811666,2777689,2745972
Albania,"Industry (including construction), value added (annual % growth)",1.86202001364686,3.39983816194058,2.26437554991978,-6.14066215173217,2.71720448128706,-3.31855847062698,2.57202261699526,1.89647552363607,1.79485713219346,9.79416428201854,0.915144134070431,-4.09893332737713,13.7990077114885,7.86445492146922,4.03162289637045
Algeria,GDP (current US$),150317292079.359,177785053939.531,218331946925.304,227143746075.934,229701430292.157,238942664192.59,187493855609.345,180763839522.151,189880896903.073,194554483655.528,193459662090.677,164873415325.201,186265418570.697,225560256621.757,239899491127.742
Algeria,GNI (current US$),149162398987.978,177703049242.49,216589368243.66,224964112461.511,225944267491.848,234461348665.993,183649437186.975,179594281655.137,187682164214.748,190390454064.656,189548593096.822,162137110259.921,182622711832.281,220300211327.901,236495559912.565
Algeria,Imports of goods and services (current US$),47648700297.2177,50674049706.3808,57272844071.9893,59908816252.9784,65124130006.4005,70019891158.5134,61266393934.4274,56532525719.5141,55990439549.8232,56446212848.1077,50490845023.6565,40978554435.8274,43564492197.796,46001550406.9774,50446959946.0135
