Country Code,Series Name,2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
USA,GDP (current US$),1.05819E+13,1.09291E+13,1.14565E+13,1.22172E+13,1.30392E+13,1.38156E+13,1.44742E+13,1.47699E+13,1.44781E+13,1.5049E+13,1.55997E+13,1.6254E+13,1.68807E+13,1.76081E+13,1.8295E+13,1.88049E+13,1.96121E+13,2.06565E+13,2.154E+13,2.13541E+13,2.36812E+13,2.60069E+13,2.77207E+13
USA,"Labor force, total",147675633,148643435,149387480,150620242,152553292,154659557,155984236,157693229,157772573,157685533,157728109,158720710,159061993,159771895,160854617,162663672,164208490,165560920,167362601,165890228,166395605,168341090,170715034
USA,"Inflation, consumer prices (annual %)",2.826171119,1.586031627,2.270094973,2.677236693,3.392746845,3.225944101,2.852672482,3.839100297,-0.355546266,1.640043442,3.156841569,2.069337265,1.464832656,1.622222977,0.118627136,1.261583206,2.130110004,2.442583297,1.812210075,1.233584396,4.697858864,8.002799821,4.116338384
USA,"Life expectancy at birth, total (years)",76.83658537,76.93658537,77.03658537,77.48780488,77.48780488,77.68780488,77.98780488,78.03902439,78.3902439,78.54146341,78.64146341,78.74146341,78.74146341,78.84146341,78.6902439,78.53902439,78.53902439,78.63902439,78.78780488,76.9804878,76.32926829,77.43414634,..
USA,"Unemployment, total (% of total labor force) (national estimate)",4.731,5.783,5.989,5.529,5.084,4.623,4.622,5.784,9.254,9.633,8.949,8.069,7.375,6.168,5.28,4.869,4.355,3.896,3.669,8.055,5.349,3.65,3.638
USA,"Population, total",284968955,287625193,290107933,292805298,295516599,298379912,301231207,304093966,306771529,309327143,311583481,313877662,316059947,318386329,320738994,323071755,325122128,326838199,328329953,331526933,332048977,333271411,334914895
USA,"Central government debt, total (% of GDP)",52.44304701,53.86192542,56.24978069,56.66173318,56.53835125,55.46688113,55.65947282,63.81467207,75.84159543,84.96394205,89.54637169,93.6488624,95.32211463,95.45382368,95.95580087,97.92858919,97.02130348,98.44946263,100.0323491,124.5508908,118.4507557,112.8896328,114.8771628
USA,Interest payments (% of revenue),16.04028512,15.85269053,15.17197628,14.86740981,14.72672976,14.45631712,15.10200159,14.83943686,15.62379142,15.44879378,16.39415387,15.52016601,13.15601801,13.21846046,12.35029473,13.02697416,12.65050756,14.97029779,15.49667548,13.75573054,12.99928208,14.40483819,19.91046667
USA,Interest payments (% of expense),16.04379229,13.72531833,12.32462519,12.24952588,12.73107203,13.08146151,13.50921943,11.53986689,9.574240264,9.729467989,10.76016275,10.87378263,10.77853181,11.02910902,10.48758752,10.7775077,10.97805459,11.80557369,11.90429298,7.714714517,7.88793828,11.50750007,14.27355948
USA,Control of Corruption: Estimate,..,1.873596668,1.704490542,1.810701966,1.536726952,1.344892621,1.377069235,1.437633395,1.286476374,1.265258074,1.262119055,1.402794003,1.305924892,1.371378064,1.35772121,1.330895662,1.340532541,1.292747378,1.180357099,1.037831903,1.019277573,1.104144692,1.123432636
USA,Refugee population by country or territory of asylum,515851,485173,452536,420788,379330,843434,281154,279468,275393,264505,264752,262006,263653,267214,273198,272963,287135,313242,341715,340846,339179,363059,409202
USA,"Intentional homicides (per 100,000 people)",6.667238973,5.628224663,..,..,..,5.774419052,5.657596527,5.386089026,4.991377395,4.730980591,4.670943805,4.691595776,4.483441897,4.398293846,4.892981977,5.321655653,5.243923549,4.929848302,4.985946527,6.420751134,6.807466393,..,..
USA,Real interest rate (%),4.567138944,3.073247242,2.10659449,1.607680461,2.960875213,4.72786367,5.199863763,3.10104222,2.617077655,2.010282621,1.162898652,1.36246375,1.522213389,1.482561391,2.310514641,2.537232299,2.26529638,2.554749873,3.573062166,2.186281899,-1.258521589,..,..
