Country,Year,Exports_USD,GDP_USD,High_Tech_Exports_USD,Imports_USD,Industry_Value_Added_USD,Labor_Force,Military_Exp_USD,Population,Researchers_per_Million,Unemployment_Rate,Trade_Balance_USD,GDP_per_Capita_USD,Trade_GDP_Ratio,Number_of_Unemployed
Argentina,1999,27862300000.0,283523000000.0,77093767722.50339,32762700000.0,74264967000.0,16410324,3461730865.43272,36653031,713.571044921875,14.05,-4900400000.0,7735.32,85.04,5149751
Argentina,1999,31223690400.0,284203750000.0,77093767722.50339,33070146000.0,73866930600.0,16588444,3266633316.65833,37070774,716.688354492188,15.0,-1846455600.0,7666.52,94.42,5560616
Argentina,1999,31112418400.0,268696750000.0,77093767722.50339,27603881800.0,67828286700.0,16651214,3183591795.89795,37480493,688.242736816406,17.32,3508536600.0,7168.98,112.71,6491621
Argentina,1999,27736610298.2555,97724004251.8602,77093767722.50339,13065823829.1753,29862244294.3788,16491672,1114172482.91036,37885028,692.160827636719,19.59,14670786469.0802,2579.49,212.28,7421677
Argentina,1999,33084505277.8061,127586973492.177,77093767722.50339,18772898618.6064,41650893934.7656,16951795,1374873734.32668,38278164,718.546325683594,15.36,14311606659.1997,3333.15,176.24,5879526
Argentina,1999,39266996605.7973,164657930452.787,77093767722.50339,27736672323.6712,47449347396.6465,17425150,1465809188.24616,38668796,766.083251953125,13.52,11530324282.126102,4258.16,141.57,5228795
Argentina,1999,46198180131.0044,198737095012.282,77093767722.50339,34392237786.5721,56891104939.9563,17545905,1699579151.82907,39070501,819.905700683594,11.51,11805942344.432304,5086.63,134.33,4495452
Argentina,1999,53550250227.3909,232557260817.308,77093767722.50339,40480743015.8524,67914347258.316,17877291,1847553129.83947,39476851,892.21337890625,10.08,13069507211.538498,5890.98,132.29,3978477
Argentina,1999,65162321195.025,287530508430.568,1202087337.0,52567536062.3157,78827167842.031,17924078,2296448241.88781,39876111,974.809265136719,8.47,12594785132.709305,7210.6,123.96,3377507
Argentina,1999,79762958392.3012,361558037110.419,2014770885.0,66316154417.0834,94990190458.2193,17966575,2788980204.56974,40273769,1036.21911621094,7.84,13446803975.217796,8977.51,120.28,3156255
Argentina,1999,65133480388.4946,332976484577.619,1607438723.0,48268743529.5373,84190456294.3594,18324357,2981852290.09382,40684338,1035.80163574219,8.64,16864736858.957298,8184.39,134.94,3517161
