Gross_National_Income,Industry_growth_rate,Inflation_rate,Population,GDP_Per_Capita,Trade_Rate
20105156769.0,-5.0,2.0,38972230.0,512.0,0.0
14352632364.0,-13.0,2.0,40099462.0,356.0,0.0
14545219075.0,-6.0,2.0,41128771.0,353.0,0.0
13198978000.0,-2.0,2.0,42239854.0,2233.0,0.0
11852736925.0,2.0,2.0,2927519.0,4114.0,1.0
11807769437.0,3.0,4.0,2913021.0,4094.0,1.0
12894099799.0,2.0,3.0,2905195.0,4437.0,1.0
12228069196.0,-6.0,2.0,2900401.0,4248.0,1.0
12996543353.0,3.0,2.0,2895092.0,4413.0,1.0
13349419700.0,-3.0,2.0,2889104.0,4579.0,1.0
11521811394.0,3.0,2.0,2880703.0,3953.0,1.0
12053832974.0,2.0,1.0,2876101.0,4124.0,1.0
13051517644.0,2.0,2.0,2873457.0,4531.0,1.0
15137984851.0,10.0,2.0,2866376.0,5288.0,1.0
15200244588.0,1.0,1.0,2854191.0,5396.0,1.0
14912504602.0,-4.0,2.0,2837849.0,5343.0,1.0
17680966715.0,14.0,2.0,2811666.0,6377.0,1.0
18569375311.0,8.0,7.0,2777689.0,6810.0,1.0
22674870568.0,4.0,6.0,2745972.0,8368.0,1.0
149162398988.0,-5.0,6.0,35196037.0,4271.0,1.0
177703049242.0,4.0,4.0,35856344.0,4958.0,1.0
216589368244.0,0.0,5.0,36543541.0,5975.0,1.0
224964112462.0,-2.0,9.0,37260563.0,6096.0,1.0
225944267492.0,-3.0,3.0,38000626.0,6045.0,1.0
234461348666.0,3.0,3.0,38760168.0,6165.0,1.0
183649437187.0,1.0,5.0,39543154.0,4742.0,1.0
179594281655.0,8.0,6.0,40339329.0,4481.0,1.0
187682164215.0,3.0,6.0,41136546.0,4616.0,1.0
190390454065.0,-1.0,4.0,41927007.0,4640.0,1.0
189548593097.0,-1.0,2.0,42705368.0,4530.0,1.0
162137110260.0,-7.0,2.0,43451666.0,3794.0,1.0
182622711832.0,10.0,7.0,44177969.0,4216.0,1.0
220300211328.0,3.0,9.0,44903225.0,5023.0,2.0
236495559913.0,4.0,9.0,45606480.0,5260.0,1.0
227532744360.0,3.0,9.0,55366.0,12192.0,1.0
218569928807.0,2.0,10.0,54849.0,10447.0,1.0
209607113255.0,1.0,10.0,54310.0,10495.0,1.0
200644297702.0,0.0,10.0,53691.0,11920.0,1.0
191681482149.0,-0.0,10.0,52995.0,12039.0,1.0
182718666596.0,-1.0,10.0,52217.0,12314.0,1.0
173755851044.0,-2.0,10.0,51368.0,13102.0,1.0
164793035491.0,-3.0,10.0,50448.0,13301.0,1.0
155830219938.0,-4.0,11.0,49463.0,12373.0,1.0
146867404386.0,-4.0,11.0,48424.0,13196.0,1.0
137904588833.0,-5.0,11.0,47321.0,13673.0,1.0
128941773280.0,-6.0,11.0,46189.0,15610.0,1.0
119978957728.0,-7.0,11.0,45035.0,16654.0,0.0
111016142175.0,-8.0,11.0,44273.0,19673.0,1.0
102053326622.0,-9.0,11.0,43914.0,34812.0,1.0
93090511070.0,-9.0,12.0,73852.0,49951.0,1.0
84127695517.0,-13.0,12.0,71519.0,48238.0,1.0
75164879964.0,-9.0,12.0,70567.0,51428.0,1.0
66202064412.0,-12.0,12.0,71013.0,44902.0,1.0
57239248859.0,-7.0,12.0,71367.0,44748.0,1.0
48276433306.0,-2.0,12.0,71621.0,45681.0,1.0
39313617754.0,-0.0,12.0,71746.0,38886.0,1.0
30350802201.0,5.0,13.0,72540.0,39931.0,1.0
21387986648.0,3.0,13.0,73837.0,40632.0,1.0
12425171095.0,8.0,13.0,75013.0,42905.0,1.0
3462355543.0,8.0,13.0,76343.0,41329.0,1.0
3268588339.0,-4.0,13.0,77700.0,37207.0,1.0
3576594870.0,6.0,13.0,79034.0,42066.0,1.0
3715911789.0,-1.0,13.0,79824.0,42351.0,1.0
33599983364.0,4.0,14.0,80088.0,46545.0,1.0
63484054939.0,-4.0,14.0,22507674.0,3124.0,1.0
75712612170.0,-0.0,14.0,23364185.0,3587.0,1.0
102092420981.0,-2.0,13.0,24259111.0,4608.0,2.0
117631162050.0,11.0,10.0,25188292.0,5084.0,2.0
122755567484.0,3.0,9.0,26147002.0,5061.0,1.0
127708790750.0,-2.0,7.0,27128337.0,5012.0,1.0
85895384572.0,8.0,9.0,28127721.0,3217.0,1.0
50010057163.0,-1.0,31.0,29154746.0,1810.0,1.0
69161228470.0,-3.0,30.0,30208628.0,2439.0,1.0
73313113235.0,-6.0,20.0,31273533.0,2541.0,2.0
64488157749.0,-3.0,17.0,32353588.0,2191.0,2.0
44145038181.0,-10.0,22.0,33428486.0,1451.0,1.0
61051288256.0,-8.0,26.0,34503774.0,1927.0,2.0
96358693004.0,2.0,21.0,35588987.0,2933.0,2.0
77036116986.0,-7.0,14.0,36684202.0,2310.0,2.0
1318414815.0,-6.0,-1.0,84534.0,16401.0,1.0
1230670370.0,-25.0,3.0,85695.0,15150.0,1.0
1211055556.0,-13.0,3.0,86729.0,14774.0,1.0
1240344444.0,2.0,3.0,87674.0,15137.0,1.0
1255111111.0,6.0,1.0,88497.0,14977.0,1.0
1318096296.0,5.0,1.0,89236.0,15452.0,1.0
1353218519.0,2.0,1.0,89941.0,15986.0,1.0
1392288889.0,14.0,-0.0,90564.0,16449.0,1.0
1455000000.0,10.0,2.0,91119.0,16804.0,1.0
1584474074.0,21.0,1.0,91626.0,18134.0,1.0
1653655556.0,2.0,1.0,92117.0,18730.0,1.0
1404996296.0,-20.0,1.0,92664.0,15225.0,1.0
1546348148.0,11.0,2.0,93219.0,17179.0,1.0
1777470370.0,3.0,8.0,93763.0,19920.0,1.0
1940100000.0,4.0,5.0,94298.0,21560.0,1.0
322744327792.0,-6.0,5.0,40684338.0,8184.0,1.0
409192468873.0,9.0,5.0,40788453.0,10386.0,1.0
515004538945.0,6.0,5.0,41261490.0,12849.0,1.0
533073608486.0,-2.0,5.0,41733271.0,13083.0,1.0
540185748562.0,1.0,5.0,42202935.0,13080.0,1.0
515532241213.0,-3.0,4.0,42669500.0,12335.0,1.0
583615452087.0,1.0,4.0,43131966.0,13789.0,1.0
545251641128.0,-6.0,4.0,43590368.0,12790.0,1.0
627200463934.0,2.0,4.0,44044811.0,14613.0,1.0
506094045060.0,-3.0,4.0,44494502.0,11795.0,1.0
430166792071.0,-5.0,4.0,44938712.0,9964.0,1.0
375344057342.0,-9.0,4.0,45376763.0,8501.0,1.0
478061739465.0,15.0,4.0,45808747.0,10651.0,1.0
619144891409.0,6.0,4.0,46234830.0,13651.0,1.0
626338098711.0,-0.0,4.0,46654581.0,13731.0,1.0
9006718596.0,-29.0,3.0,2964296.0,2917.0,0.0
