Country Name,Series Name,2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
Canada,GDP (current US$),1.55299E+12,1.37463E+12,1.61734E+12,1.79333E+12,1.82837E+12,1.8466E+12,1.80575E+12,1.55651E+12,1.52799E+12,1.64927E+12,1.72533E+12,1.74373E+12,1.65568E+12,2.00747E+12,2.16148E+12,2.14009E+12
Canada,GDP per capita (current US$),46710.25269,40874.88319,47560.6666,52223.85884,52670.34473,52638.11872,50960.84312,43594.1941,42314.06158,45129.62812,46539.17616,46352.86934,43537.8393,52496.84417,55509.39318,53371.69743
Canada,"Population, total",33247298,33630069,34005902,34339221,34713395,35080992,35434066,35704498,36110803,36545075,37072620,37618495,38028638,38239864,38939056,40097761
Canada,"Labor force, total",18662676,18788041,18985996,19146747,19315804,19521201,19584895,19691006,19878324,20144897,20348244,20767967,20482633,20967796,21367763,22110473
Canada,Imports of goods and services (current US$),5.06719E+11,4.11818E+11,5.02035E+11,5.70643E+11,5.89511E+11,5.89049E+11,5.89434E+11,5.34115E+11,5.17396E+11,5.54923E+11,5.91348E+11,5.89707E+11,5.24573E+11,6.26488E+11,7.28719E+11,7.26063E+11
Canada,Exports of goods and services (current US$),5.34151E+11,3.91986E+11,4.71737E+11,5.50164E+11,5.54965E+11,5.60109E+11,5.73083E+11,4.95747E+11,4.81358E+11,5.18767E+11,5.5772E+11,5.64142E+11,4.87991E+11,6.2666E+11,7.31555E+11,7.17708E+11
Canada,"Industry (including construction), value added (current US$)",4.55679E+11,3.44701E+11,4.26188E+11,4.86697E+11,4.86979E+11,4.91439E+11,4.90043E+11,3.80032E+11,3.55951E+11,3.96282E+11,4.24816E+11,4.19844E+11,3.71728E+11,..,..,..
Canada,"Literacy rate, adult total (% of people ages 15 and above)",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Canada,Gross capital formation (current US$),3.73843E+11,3.01861E+11,3.79785E+11,4.33114E+11,4.5467E+11,4.59944E+11,4.49103E+11,3.70785E+11,3.47789E+11,3.8841E+11,4.03336E+11,4.01797E+11,3.75422E+11,4.88105E+11,5.48237E+11,5.11539E+11
Canada,Population growth (annual %),1.083871149,1.144707685,1.11135203,0.975407251,1.083746522,1.053380981,1.001422847,0.760300145,1.13153974,1.195435755,1.433226157,1.461712599,1.084368971,0.553902422,1.811922553,2.932274012
Canada,"Unemployment, total (% of total labor force) (national estimate)",6.284,8.46,8.178,7.637,7.392,7.143,7.023,6.945,7.038,6.426,5.837,5.69,9.657,7.527,5.28,5.415
Canada,Trade (% of GDP),67.02360836,58.47439182,60.2081215,62.49873877,62.59554894,62.2310749,64.37866216,66.16490207,65.36368452,65.10106085,66.59988585,66.17148528,61.15677096,62.42416441,67.55889637,67.46323886
Canada,Military expenditure (current USD),19342058405,18936226052,19315688825,21393720864,20452107111,18515731210,17853640478,17937641895,17782775543,22269696323,22729327580,22394875659,23082774049,25362240829,26896315905,..
Canada,Research and development expenditure (% of GDP),1.855780005,1.91742003,1.825279951,1.787140012,1.772320032,1.70539999,1.714169979,1.693240047,1.729030013,1.687019944,1.737200022,1.755730033,1.894840002,1.697270036,1.55182004,..
France,GDP (current US$),2.9303E+12,2.70089E+12,2.64519E+12,2.86516E+12,2.68367E+12,2.81188E+12,2.85596E+12,2.43919E+12,2.47296E+12,2.59515E+12,2.79096E+12,2.72887E+12,2.64742E+12,2.95936E+12,2.77909E+12,3.0309E+12
France,GDP per capita (current US$),45515.96175,41737.76355,40676.06479,43846.46608,40870.85236,42602.71797,43068.54872,36652.92231,37062.53357,38781.04949,41557.85486,40494.89829,39179.74426,43671.30841,40886.25327,44460.81785
France,"Population, total",64379696,64710879,65030575,65345233,65662240,66002289,66312067,66548272,66724104,66918020,67158348,67388001,67571107,67764304,67971311,68170228
France,"Labor force, total",29512889,29790243,29884514,29908458,30175391,30427131,30406445,30521969,30573605,30547530,30691326,30652293,30379167,31271173,31616935,31825317
France,Imports of goods and services (current US$),8.57925E+11,6.92154E+11,7.42755E+11,8.70127E+11,8.18494E+11,8.54791E+11,8.79983E+11,7.60029E+11,7.62974E+11,8.30791E+11,9.13321E+11,8.88231E+11,7.79782E+11,9.44547E+11,1.07171E+12,1.05772E+12
France,Exports of goods and services (current US$),8.23983E+11,6.7078E+11,7.08601E+11,8.14316E+11,7.83713E+11,8.257E+11,8.4727E+11,7.46212E+11,7.48011E+11,8.03164E+11,8.85115E+11,8.62106E+11,7.2348E+11,8.88842E+11,9.63967E+11,9.90482E+11
France,"Industry (including construction), value added (current US$)",5.51302E+11,4.94393E+11,4.72053E+11,5.15103E+11,4.79533E+11,5.05345E+11,5.06818E+11,4.31241E+11,4.3114E+11,4.47434E+11,4.7972E+11,4.75497E+11,4.44392E+11,4.85205E+11,4.67502E+11,5.65289E+11
France,"Literacy rate, adult total (% of people ages 15 and above)",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
France,Gross capital formation (current US$),7.07079E+11,5.76185E+11,5.80521E+11,6.65316E+11,6.07225E+11,6.26688E+11,6.48585E+11,5.53996E+11,5.59122E+11,6.08205E+11,6.65846E+11,6.64879E+11,6.37647E+11,7.36803E+11,7.35783E+11,7.64089E+11
France,Population growth (annual %),0.557563758,0.513102876,0.492821126,0.482694782,0.48395349,0.516539661,0.468246342,0.35556924,0.263868789,0.290202116,0.358494582,0.341374143,0.271350508,0.285508619,0.305015247,0.292221086
France,"Unemployment, total (% of total labor force) (national estimate)",7.386,9.122,9.279,9.228,9.841,9.913,10.273,10.354,10.057,9.41,9.018,8.415,8.01,7.874,7.308,7.335
France,Trade (% of GDP),57.39708289,50.46245085,54.86779108,58.79057642,59.70205917,59.76405507,60.47879652,61.75169393,61.10014238,62.96184729,64.4379526,64.14147319,56.78215677,61.952314,73.2498526,67.57711106
France,Military expenditure (current USD),55365965845,56441455398,52044060565,54120871010,50216507403,52001462448,53134750899,45647471641,47370589553,49195662250,51409812839,50118929212,52747064858,56646996216,53638748769,..
France,Research and development expenditure (% of GDP),2.061170101,2.212069988,2.178570032,2.191610098,2.227070093,2.237030029,2.275919914,2.227020025,2.222379923,2.198879957,2.196660042,2.191790104,2.281889915,2.219180107,..,..
Germany,GDP (current US$),3.74526E+12,3.41126E+12,3.39967E+12,3.74931E+12,3.52714E+12,3.7338E+12,3.88909E+12,3.35759E+12,3.46985E+12,3.69085E+12,3.97444E+12,3.88918E+12,3.88773E+12,4.2785E+12,4.08247E+12,4.45608E+12
Germany,GDP per capita (current US$),45612.71062,41650.36783,41572.45595,46705.8958,43855.85447,46298.92292,48023.86998,41103.25644,42136.12079,44652.58917,47939.27829,46805.13843,46749.47623,51426.75037,48717.99114,52745.75571
Germany,"Population, total",82110097,81902307,81776930,80274983,80425823,80645605,80982500,81686611,82348669,82657002,82905782,83092962,83160871,83196078,83797985,84482267
Germany,"Labor force, total",41917490,41978630,41949335,41729225,41853628,42212988,42458390,42660629,43567225,43819028,43935038,44433744,43501190,43386527,44198105,44783712
Germany,Imports of goods and services (current US$),1.41292E+12,1.12943E+12,1.26818E+12,1.50531E+12,1.41816E+12,1.48083E+12,1.51678E+12,1.32039E+12,1.34271E+12,1.47908E+12,1.63791E+12,1.60198E+12,1.46452E+12,1.7919E+12,1.99863E+12,1.91492E+12
Germany,Exports of goods and services (current US$),1.6404E+12,1.30037E+12,1.44708E+12,1.68933E+12,1.63332E+12,1.69584E+12,1.77418E+12,1.5754E+12,1.59867E+12,1.74072E+12,1.88026E+12,1.83288E+12,1.69027E+12,2.02286E+12,2.07895E+12,2.10038E+12
Germany,"Industry (including construction), value added (current US$)",1.00555E+12,8.43803E+11,9.12773E+11,1.0149E+12,9.62345E+11,1.00001E+12,1.05048E+12,9.10234E+11,9.56587E+11,1.01359E+12,1.08527E+12,1.04973E+12,1.03831E+12,1.15665E+12,1.09827E+12,1.25135E+12
Germany,"Literacy rate, adult total (% of people ages 15 and above)",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Germany,Gross capital formation (current US$),8.03216E+11,6.33009E+11,6.8217E+11,8.11173E+11,6.95411E+11,7.48768E+11,7.9222E+11,6.62886E+11,6.92841E+11,7.73686E+11,8.71182E+11,8.50553E+11,8.54106E+11,9.93322E+11,1.02179E+12,1.05034E+12
Germany,Population growth (annual %),-0.190142845,-0.25338341,-0.153198447,-1.853714629,0.187727801,0.272900215,0.416877359,0.865702644,0.807218539,0.37372456,0.300526702,0.225519874,0.081693159,0.042327057,0.720875456,0.81326925
Germany,"Unemployment, total (% of total labor force) (national estimate)",7.508,7.88,7.043,5.967,5.372,5.316,4.98,4.612,4.104,3.781,3.384,3.163,3.881,3.594,3.12,3.068
Germany,Trade (% of GDP),81.52480473,71.2287129,79.86862424,85.20612127,86.51405488,85.0788767,84.62009339,86.24622461,84.76964597,87.23720295,88.51987104,88.31838946,81.14735893,89.16109414,99.88033976,90.1085374
Germany,Military expenditure (current USD),45098956312,44528927836,43025915012,45163212878,43798225349,44242647303,44662831168,38170021071,39909678594,42281112685,46497675956,49079444693,53318705118,56513126774,55759747827,..
Germany,Research and development expenditure (% of GDP),2.615129948,2.742660046,2.730240107,2.805550098,2.881659985,2.835989952,2.877840042,2.933789968,2.94039011,3.047100067,3.110110044,3.167789936,3.129790068,3.142460108,..,..
Italy,GDP (current US$),2.40866E+12,2.19993E+12,2.1361E+12,2.29499E+12,2.08696E+12,2.14192E+12,2.16201E+12,1.83664E+12,1.87707E+12,1.9618E+12,2.09193E+12,2.0113E+12,1.89746E+12,2.15488E+12,2.06697E+12,2.25485E+12
Italy,GDP per capita (current US$),40944.91242,37226.75719,36035.645,38649.63948,35051.52127,35560.08141,35565.72138,30242.38614,30960.73151,32406.72032,34622.16967,33673.75096,31922.91916,36441.0598,35068.83597,38373.16605
Italy,"Population, total",58826731,59095365,59277417,59379449,59539717,60233948,60789140,60730582,60627498,60536709,60421760,59729081,59438851,59133173,58940425,58761146
Italy,"Labor force, total",24816663,24612153,24546580,24567360,25127011,25287655,25689865,25654398,25932536,26103399,26164164,25907430,25126337,25087249,25342466,25668665
Italy,Imports of goods and services (current US$),6.65514E+11,5.06415E+11,5.75297E+11,6.48865E+11,5.69228E+11,5.6192E+11,5.66734E+11,4.90423E+11,4.88784E+11,5.46761E+11,6.05614E+11,5.68727E+11,4.90179E+11,6.45494E+11,7.88285E+11,7.59281E+11
Italy,Exports of goods and services (current US$),6.47032E+11,4.92766E+11,5.35607E+11,6.16722E+11,5.92263E+11,6.13302E+11,6.29336E+11,5.45775E+11,5.50506E+11,6.02933E+11,6.55895E+11,6.3562E+11,5.58466E+11,6.91993E+11,7.54598E+11,7.90428E+11
Italy,"Industry (including construction), value added (current US$)",5.68476E+11,4.8145E+11,4.67075E+11,4.99154E+11,4.45463E+11,4.53498E+11,4.49664E+11,3.83056E+11,3.98276E+11,4.17871E+11,4.48723E+11,4.32973E+11,4.09072E+11,4.99849E+11,4.8665E+11,5.21453E+11
Italy,"Literacy rate, adult total (% of people ages 15 and above)",..,..,..,98.84828186,..,..,..,..,..,..,..,99.34909821,..,..,..,..
Italy,Gross capital formation (current US$),5.24569E+11,4.29179E+11,4.39605E+11,4.69741E+11,3.7126E+11,3.61822E+11,3.6666E+11,3.14199E+11,3.29633E+11,3.54184E+11,3.87582E+11,3.66855E+11,3.35865E+11,4.68416E+11,4.77246E+11,4.71649E+11
Italy,Population growth (annual %),0.662469253,0.45561345,0.307591222,0.171978291,0.26954124,1.159251117,0.917504096,-0.096376133,-0.169884073,-0.149861117,-0.19006364,-1.153028424,-0.487095092,-0.515599999,-0.326488181,-0.304633383
Italy,"Unemployment, total (% of total labor force) (national estimate)",6.737,7.764,8.381,8.377,10.678,12.175,12.717,11.929,11.725,11.242,10.639,9.982,9.19,9.532,8.092,7.627
Italy,Trade (% of GDP),54.4928758,45.41876179,52.00618837,55.14552246,55.65472084,54.8675794,55.32211515,56.41817616,55.36760281,58.60417595,60.30355124,59.87898022,55.26570577,62.0679469,74.64459001,68.72774382
Italy,Military expenditure (current USD),36839989746,34054481324,32020819951,33828804971,29781008205,29957445905,27701034335,22180845070,25033027895,26447892915,28420098438,26380673981,32929093811,36249278619,33489705251,..
Italy,Research and development expenditure (% of GDP),1.159719944,1.217869997,1.217970014,1.201550007,1.262189984,1.301069975,1.338400006,1.338500023,1.366420031,1.370129943,1.424430013,1.461590052,1.506800056,1.453920007,..,..
